;;TEST KNN: Mon Mar 14 18:22:49 2022
;;[CLasses]:
;;[6CMTreeI15EuclidianPointGIfLj10EE15EuclidianMetricE],[15EuclidianMetric, ]
sname,MADI,dim,dbSize,nQueries,radMult,maxResults, nFound,aveNfound, radiusSum,Pivot,Partition,NNodesVstd,NDistCalls,btime,stime,stime_N1000
CMT,1,10,1000,100,3.40282e+38,1,100,1,1184.29,RAN,BOM,17.31,9.18,17,2,20
CMT,1,10,1000,100,3.40282e+38,2,200,2,1184.29,RAN,BOM,727.28,658.35,17,101,1010
CMT,1,10,1000,100,3.40282e+38,4,400,4,1184.29,RAN,BOM,861.14,804.67,17,134,1340
CMT,1,10,1000,100,3.40282e+38,6,600,6,1184.29,RAN,BOM,900.9,850.5,17,138,1380
CMT,1,10,1000,100,3.40282e+38,8,800,8,1184.29,RAN,BOM,924.26,879.27,17,138,1380
CMT,1,10,1000,100,3.40282e+38,10,1000,10,1184.29,RAN,BOM,936.86,896.72,17,149,1490
CMT,1,10,1000,100,3.40282e+38,20,2000,20,1184.29,RAN,BOM,966.48,938.98,17,156,1560
CMT,1,10,1000,100,3.40282e+38,40,4000,40,1184.29,RAN,BOM,985.04,968.02,17,169,1690
CMT,1,10,1000,100,3.40282e+38,60,6000,60,1184.29,RAN,BOM,988.96,977.7,17,178,1780
CMT,1,10,1000,100,3.40282e+38,80,8000,80,1184.29,RAN,BOM,995.59,987.25,17,185,1850
CMT,1,10,1000,100,3.40282e+38,100,10000,100,1184.29,RAN,BOM,996.48,990.04,17,190,1900
CMT,1,10,1000,100,3.40282e+38,200,20000,200,1184.29,RAN,BOM,998.28,996.09,17,227,2270
CMT,1,10,1000,100,3.40282e+38,400,40000,400,1184.29,RAN,BOM,999.91,999.45,17,343,3430
CMT,1,10,1000,100,3.40282e+38,600,60000,600,1184.29,RAN,BOM,999.92,999.81,17,412,4120
CMT,1,10,1000,100,3.40282e+38,800,80000,800,1184.29,RAN,BOM,999.94,999.92,17,376,3760
CMT,1,10,1000,100,3.40282e+38,1000,100000,1000,1184.29,RAN,BOM,1000,1000,17,228,2280
CMT,1000,10,1000,100,3.40282e+38,1,100,1,1458.22,RAN,BOM,17.31,9.18,23,2,20
CMT,1000,10,1000,100,3.40282e+38,2,200,2,1458.22,RAN,BOM,673.91,495.65,23,101,1010
CMT,1000,10,1000,100,3.40282e+38,4,400,4,1458.22,RAN,BOM,824.37,658.47,23,130,1300
CMT,1000,10,1000,100,3.40282e+38,6,600,6,1458.22,RAN,BOM,867.32,714.76,23,141,1410
CMT,1000,10,1000,100,3.40282e+38,8,800,8,1458.22,RAN,BOM,896.38,756.07,23,146,1460
CMT,1000,10,1000,100,3.40282e+38,10,1000,10,1458.22,RAN,BOM,915.1,785.85,23,157,1570
CMT,1000,10,1000,100,3.40282e+38,20,2000,20,1458.22,RAN,BOM,952.68,858.68,23,175,1750
CMT,1000,10,1000,100,3.40282e+38,40,4000,40,1458.22,RAN,BOM,976.49,916.18,23,187,1870
CMT,1000,10,1000,100,3.40282e+38,60,6000,60,1458.22,RAN,BOM,984.56,941.4,23,210,2100
CMT,1000,10,1000,100,3.40282e+38,80,8000,80,1458.22,RAN,BOM,989.99,957.24,23,214,2140
CMT,1000,10,1000,100,3.40282e+38,100,10000,100,1458.22,RAN,BOM,992.37,966.56,23,225,2250
CMT,1000,10,1000,100,3.40282e+38,200,20000,200,1458.22,RAN,BOM,997.46,987.61,23,262,2620
CMT,1000,10,1000,100,3.40282e+38,400,40000,400,1458.22,RAN,BOM,999.15,996.84,23,377,3770
